CustomerID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2
12346,326.0,1.0,19880.091799999987,3,2.7639560018228275,4.343760400342053
12347,2.0,7.0,4310.0,1,1.3912402000608473,-0.33167377930315106
12348,75.0,4.0,1797.24,0,0.11642312273565432,-0.1330199281897881
12349,19.0,1.0,1757.55,0,-0.06382175272584584,-0.783098460745941
12350,310.0,1.0,334.4,2,-1.5926106368312243,1.6692861329365827
12352,36.0,8.0,2506.04,1,0.9765311946910512,-0.21122749258235116
12353,204.0,1.0,89.0,2,-1.2085690983880883,0.6771305849058452
12354,232.0,1.0,1079.4,2,-1.1005688001458886,1.0589931432957493
12355,214.0,1.0,459.4,2,-1.1662218191317055,0.8156694542928159
12356,23.0,3.0,2811.43,0,0.4270625285199155,-0.5187607142401255
12357,33.0,1.0,6207.67,0,0.8851215721355881,-0.08034060926558102
12358,2.0,2.0,1168.06,0,0.00777909818234927,-0.9675591900349978
12359,58.0,4.0,6372.58,1,1.2222560993171383,0.3050724474435828
12360,52.0,3.0,2662.06,0,0.27300188280488796,-0.2753413137395336
12361,287.0,1.0,189.9,2,-1.5299301104170553,1.4421976000558994
12362,3.0,10.0,5226.23,1,1.9979137187464957,-0.06647692387489763
12363,110.0,2.0,552.0,0,-0.5794926240057883,-0.06876891927224707
12364,8.0,4.0,1313.1,0,0.28471176322263525,-0.8027184106909933
12365,291.0,2.0,641.38,2,-1.309857328002401,1.5827215053811687
12367,4.0,1.0,168.9,0,-0.3611074627309866,-1.124599087426966
12370,51.0,4.0,3545.69,0,0.6115987108904961,-0.12419239912395337
12371,45.0,2.0,1887.96,0,-0.007634580334553681,-0.48479818449346884
12372,72.0,3.0,1298.04,0,-0.1185949362985233,-0.2706591748456833
12373,311.0,1.0,364.6,2,-1.5899237054026236,1.6822548202367456
12374,25.0,1.0,742.9300000000001,0,-0.3182975336114762,-0.8600435638093097
12375,11.0,2.0,457.5,0,-0.1903328708359524,-0.9779732728877119
12377,315.0,2.0,1628.12,2,-1.1860976090326476,1.9278690054560812
12378,130.0,1.0,4008.62,0,-0.014742708710087028,0.5139229234348012
12379,82.0,2.0,852.24,0,-0.3954391107075511,-0.28360310610104794
12380,22.0,4.0,2724.81,0,0.5461053286448925,-0.4931768506900326
12381,5.0,5.0,1845.31,0,0.5520809657949195,-0.715169268162034
12383,185.0,5.0,1850.56,2,-0.1931742756369077,0.9163731100528921
12384,29.0,2.0,585.27,0,-0.23606462812744686,-0.7983516040712922
12386,338.0,2.0,401.9,2,-1.5589529328765472,1.9775656014169143
12388,16.0,6.0,2780.66,0,0.852618424868818,-0.44860280531582275
12390,80.0,1.0,549.84,0,-0.5900709844525343,-0.3867131011614851
12391,22.0,1.0,460.89,0,-0.3696785269313244,-0.9237248623766127
12393,72.0,4.0,1582.6000000000001,0,0.08029380834860346,-0.18797864552358023
12394,64.0,2.0,1272.48,0,-0.2257003419626112,-0.39230397756173685
12395,19.0,12.0,3018.63,1,1.7010077312751495,-0.11549991018990462
12397,36.0,2.0,2409.9,0,0.14779531627567352,-0.49879438757940187
12398,46.0,1.0,1635.6599999999999,0,-0.20337024431566791,-0.5542434313026343
12399,119.0,4.0,1108.65,0,-0.2218590837565957,0.17652147986199795
12401,303.0,1.0,84.3,2,-1.6201764264857208,1.5734969554595253
12402,323.0,1.0,225.6,2,-1.6711403475013225,1.772990310709881
12403,50.0,1.0,427.7,0,-0.493302353894198,-0.6743303592509414
12405,149.0,1.0,1710.39,0,-0.6135913000735239,0.38864378362038643
12406,22.0,2.0,3415.3,0,0.4333599951450122,-0.4955252899344979
12407,50.0,5.0,1708.1200000000001,0,0.33442597351723347,-0.32520799567498376
12408,33.0,5.0,2888.55,0,0.6720382182627721,-0.32646841314930014
12409,79.0,3.0,11072.67,1,2.0642390068544207,1.057748498714616
12410,309.0,2.0,693.3299999999999,2,-1.3727460926631048,1.752530917385648
12412,75.0,3.0,1226.88,0,-0.1471381714514346,-0.2526873079056209
12413,67.0,3.0,758.1,0,-0.22004128489734517,-0.3858373405002314
12414,217.0,3.0,562.41,2,-0.8863592355320292,0.9478898656608371
12415,24.0,21.0,19880.091799999987,3,6.7062576833924705,2.5246178607989815
12417,3.0,9.0,3649.1,1,1.5065344305064055,-0.31643559600114074
12418,113.0,1.0,668.58,0,-0.7000497082574563,-0.07235480544379592
12420,64.0,1.0,600.39,0,-0.5122817147525707,-0.5251367606734904
12421,16.0,4.0,807.04,0,0.13702219579542896,-0.7957274447087812
12422,96.0,3.0,803.5600000000001,0,-0.33001462191093517,-0.11720398596811264
12423,1.0,8.0,1859.31,1,0.975326967327397,-0.6120363937457266
12424,163.0,2.0,1760.96,2,-0.5257079220472325,0.5678873575726978
12425,78.0,1.0,777.2,0,-0.5303287771361194,-0.37540997167048923
12426,195.0,1.0,582.73,2,-1.0595227308979531,0.6594835803867171
12427,22.0,3.0,825.8,0,-0.01811090937099565,-0.7847916718881222
12428,26.0,9.0,7956.46,1,2.3858509984866636,0.44939009583700124
12429,9.0,4.0,3750.4,0,0.8320918157066701,-0.47823451141480927
12430,43.0,1.0,256.4,0,-0.5030368037875012,-0.7599216227635974
12431,36.0,15.0,6487.45,1,2.8189462161231758,0.6250063630916192
12432,43.0,5.0,5059.32,1,1.1217840909945285,0.045065613142356624
12433,1.0,7.0,13375.87,1,3.4468669064697703,0.8325268135257735
12434,85.0,2.0,806.14,0,-0.41831161775874287,-0.26238809545606295
12435,80.0,2.0,7829.89,1,1.1917994732152728,0.6012898286533835
12436,100.0,1.0,509.01,0,-0.6822483814923255,-0.21079012751438347
12437,2.0,18.0,4951.41,1,3.015847015155515,0.2557300841168374
12438,14.0,2.0,2906.85,0,0.3514801145883588,-0.633809221602304
12441,367.0,1.0,173.55,2,-1.8653824396332943,2.16490963950913
12442,3.0,1.0,172.06,0,-0.3562454919459655,-1.1332504852619965
12444,21.0,5.0,5005.46,1,1.2008282769485483,-0.16123238066140722
12445,22.0,1.0,133.4,0,-0.4437849413779382,-0.9661070304502395
12446,58.0,1.0,1002.3100000000001,0,-0.39645138909134486,-0.527484321137897
12447,243.0,1.0,476.49,2,-1.2826148910314001,1.0806313009674466
12448,44.0,1.0,449.45,0,-0.4634991911392264,-0.7258776779875115
12449,22.0,4.0,4067.29,0,0.8498898083734038,-0.3194395976579322
12450,156.0,2.0,197.88,2,-0.8503827533216717,0.30217867404259896
12451,11.0,5.0,9035.52,1,2.1542436546152666,0.2697149489844836
12452,17.0,2.0,430.57,0,-0.2213081952655811,-0.9270963246376344
12453,134.0,1.0,707.09,0,-0.7784204779820347,0.12289631606451781
12454,56.0,1.0,3528.34,0,0.18344774422585725,-0.21869846458407843
12455,73.0,6.0,2466.86,0,0.5452361726191022,0.027226653783942404
12456,44.0,3.0,3181.04,0,0.4236150658376097,-0.28066023596006967
12457,66.0,7.0,2363.23,0,0.6853112886825045,-0.0037529326875624467
12458,71.0,2.0,947.4,0,-0.32828975540257066,-0.37095180711569936
12461,94.0,2.0,826.88,0,-0.4509406074958186,-0.17816087777366657
12462,19.0,2.0,1189.59,0,-0.057846380835222214,-0.8107469366640846
12463,53.0,4.0,1344.78,0,0.10526969411084644,-0.3909028015139881
12464,10.0,8.0,1212.05,0,0.7915389044878205,-0.6142584974874431
12465,17.0,2.0,742.1899999999999,0,-0.15079294023533954,-0.8867679750235894
12468,188.0,2.0,729.5400000000001,2,-0.8627765395833676,0.6609147245401447
12471,2.0,30.0,19824.05,3,7.9952792666135615,2.7307248924667618
12472,32.0,7.0,6572.11,1,1.7787169013395754,0.23288802125330949
12473,29.0,5.0,3938.5499999999997,1,0.9262261853453875,-0.22682390258445534
12474,17.0,18.0,7375.79,1,3.5022467553462144,0.7053868356388413
12475,54.0,1.0,723.38,0,-0.4429817259280507,-0.5998234882978221
12476,16.0,11.0,6816.42,1,2.4383385128558155,0.3029564564269529
12477,23.0,6.0,13219.74,1,3.1858081256908592,0.9657947658795839
12478,4.0,1.0,680.99,0,-0.2452286457473643,-1.058326882325059
12479,11.0,1.0,527.2,0,-0.3090575238104864,-1.0148071905216318
12480,28.0,4.0,3281.63,0,0.6472244786517682,-0.3667538075577306
12481,23.0,10.0,5596.32,1,1.9987217802685004,0.16262532396321677
12483,17.0,8.0,2484.98,1,1.0505568419588305,-0.3860996202615454
12484,33.0,6.0,4541.72,1,1.1806242968003389,-0.06666901287771333
12488,10.0,3.0,1298.66,0,0.13865358923369273,-0.8323206197704579
